,5,10,20,50,100
2012-01-17,207540.00000000003,719550.0000000009,461389.99999999953,135049.99999999997,441190.0000000001
2012-01-18,207510.00000000003,719540.0000000009,461379.99999999953,135019.99999999997,441190.0000000001
2012-01-19,207510.00000000003,719900.0000000009,461739.99999999953,135019.99999999997,441190.0000000001
2012-01-20,207510.00000000003,724200.0000000009,466039.99999999953,135019.99999999997,441190.0000000001
2012-01-23,207510.00000000003,721780.0000000009,463619.99999999953,135019.99999999997,441190.0000000001
2012-01-24,207510.00000000003,722920.0000000009,464759.99999999953,135019.99999999997,441190.0000000001
2012-01-25,207510.00000000003,722040.0000000009,463879.99999999953,135019.99999999997,441190.0000000001
2012-01-26,207510.00000000003,721420.0000000009,463259.99999999953,135019.99999999997,441190.0000000001
2012-01-27,207510.00000000003,721680.0000000009,463519.99999999953,135019.99999999997,441190.0000000001
2012-01-30,207510.00000000003,723260.0000000009,465099.99999999953,135019.99999999997,441190.0000000001
2012-01-31,207510.00000000003,723800.0000000009,465639.99999999953,135019.99999999997,441190.0000000001
2012-02-01,207510.00000000003,725520.0000000009,467359.99999999953,135019.99999999997,441190.0000000001
2012-02-02,207510.00000000003,728020.0000000009,469859.99999999953,135019.99999999997,441190.0000000001
2012-02-03,207510.00000000003,725040.0000000009,466879.99999999953,135019.99999999997,441190.0000000001
2012-02-06,207510.00000000003,726680.0000000009,468519.99999999953,135019.99999999997,441190.0000000001
2012-02-07,207510.00000000003,723860.0000000009,465699.99999999953,135019.99999999997,441190.0000000001
2012-02-08,207510.00000000003,723300.0000000009,465139.99999999953,135019.99999999997,441190.0000000001
2012-02-09,207510.00000000003,721020.0000000009,462859.99999999953,135019.99999999997,441190.0000000001
2012-02-10,207510.00000000003,723440.0000000009,465279.99999999953,135019.99999999997,441190.0000000001
2012-02-13,207510.00000000003,718920.0000000009,460759.99999999953,135019.99999999997,441190.0000000001
2012-02-14,207510.00000000003,719340.0000000009,461179.99999999953,135019.99999999997,441190.0000000001
2012-02-15,207510.00000000003,717220.0000000009,459059.99999999953,135019.99999999997,441190.0000000001
2012-02-16,207510.00000000003,716220.0000000009,458059.99999999953,135019.99999999997,441190.0000000001
2012-02-17,207490.00000000003,716200.0000000009,458059.99999999953,134999.99999999997,441170.0000000001
2012-02-21,202110.00000000003,716200.0000000009,452679.99999999953,129619.99999999997,435790.0000000001
2012-02-22,202050.00000000003,716200.0000000009,452619.99999999953,129559.99999999997,435730.0000000001
2012-02-23,199110.00000000003,716200.0000000009,449679.99999999953,126619.99999999997,432790.0000000001
2012-02-24,195250.00000000003,716200.0000000009,445819.99999999953,122759.99999999996,428930.0000000001
2012-02-27,197570.00000000006,716200.0000000009,448139.99999999953,125079.99999999997,431250.0000000001
2012-02-28,201610.00000000006,716200.0000000009,452179.99999999953,129119.99999999996,435290.0000000001
2012-02-29,200570.00000000006,716200.0000000009,451139.99999999953,128079.99999999997,434250.0000000001
2012-03-01,197070.00000000006,716200.0000000009,447639.99999999953,124579.99999999997,430750.0000000001
2012-03-02,201270.00000000006,716200.0000000009,451839.99999999953,128779.99999999996,434950.0000000001
2012-03-05,201250.00000000006,716200.0000000009,451819.99999999953,128759.99999999994,434930.0000000001
2012-03-06,205190.0000000001,716200.0000000009,455759.99999999953,132699.99999999997,438870.0000000001
2012-03-07,202310.00000000006,716200.0000000009,452879.99999999953,129819.99999999994,435990.0000000001
2012-03-08,201490.00000000006,716200.0000000009,452059.99999999953,128999.99999999994,435170.0000000001
2012-03-09,199870.00000000006,716200.0000000009,450439.99999999953,127379.99999999994,433550.0000000001
2012-03-12,201930.00000000006,716200.0000000009,452499.99999999953,129439.99999999994,435610.0000000001
2012-03-13,201130.0000000001,716200.0000000009,451699.99999999953,128639.99999999996,434810.0000000001
2012-03-14,203710.00000000006,716200.0000000009,454279.99999999953,131219.99999999994,437390.0000000001
2012-03-15,204310.00000000006,716200.0000000009,454879.99999999953,131819.99999999994,437990.0000000001
2012-03-16,204270.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,437990.0000000001
2012-03-19,206130.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,436130.0000000001
2012-03-20,201310.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,440950.0000000001
2012-03-21,203630.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,438630.0000000001
